"Game","Year","Genre","Publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","log_na_sales","log_eu_sales","log_jp_sales","log_other_sales","log_global_sales"
"The Elder Scrolls V: Skyrim","2016","Role-Playing","Bethesda Softworks",1.24,1.5,0.08,0.54,3.36,0.806475865866949,0.916290731874155,0.0769610411361284,0.431782416425538,1.47247205736094
"Watch Dogs 2","2016","Action","Ubisoft",0.98,1.74,0.12,0.52,3.36,0.683096844706444,1.00795792039998,0.113328685307003,0.418710334858185,1.47247205736094
"NBA 2K18","2017","Sports","2K Sports",2.13,0.57,0.04,0.59,3.34,1.14103300455206,0.451075619360217,0.0392207131532813,0.46373401623214,1.46787434811231
"Resident Evil VII: Biohazard","2017","Action","Capcom",0.88,1.56,0.41,0.46,3.31,0.631271776841858,0.940007258491471,0.343589704390077,0.378436435720245,1.46093790411566
"Madden NFL 16","2015","Sports","EA Sports",2.39,0.31,0,0.61,3.3,1.22082992139236,0.27002713721306,0,0.476234178996372,1.45861502269952
"Madden NFL 17","2016","Sports","EA Sports",2.3,0.37,0,0.6,3.28,1.19392246847243,0.314810739840034,0,0.470003629245736,1.45395300959371
"Middle-Earth: Shadow of Mordor","2014","Action","Warner Bros. Interactive Entertainment",1.03,1.6,0.05,0.51,3.19,0.708035793053696,0.955511445027436,0.048790164169432,0.412109650826833,1.43270073393405
"Assassin's Creed IV: Black Flag","2013","Action-Adventure","Ubisoft",1.07,1.55,0.06,0.51,3.19,0.727548607277278,0.936093359170335,0.0582689081239758,0.412109650826833,1.43270073393405
"Tom Clancy's Ghost Recon Wildlands","2017","Shooter","Ubisoft",1.07,1.35,0.22,0.47,3.12,0.727548607277278,0.854415328156068,0.198850858745165,0.385262400790645,1.41585316336144
"Bloodborne","2015","Role-Playing","Sony Computer Entertainment",1.3,1.05,0.28,0.48,3.11,0.832909122935104,0.717839793150317,0.246860077931526,0.392042087776024,1.41342302850814
"Metal Gear Solid V: The Phantom Pain","2015","Action","Konami Digital Entertainment",0.97,1.15,0.5,0.42,3.04,0.678033542749897,0.765467842139571,0.405465108108164,0.350656871613169,1.39624469197306
"Killzone: Shadow Fall","2013","Shooter","Sony Computer Entertainment",0.89,1.58,0.08,0.47,3.02,0.636576829071551,0.947789398933526,0.0769610411361284,0.385262400790645,1.39128190263093
"inFAMOUS: Second Son","2014","Action-Adventure","Sony Computer Entertainment",1.35,1.09,0.07,0.5,3.01,0.854415328156068,0.73716406597672,0.0676586484738149,0.405465108108164,1.38879124131848
"Doom (2016)","2016","Shooter","Bethesda Softworks",0.93,1.48,0.04,0.46,2.92,0.657520002916794,0.908258560176891,0.0392207131532813,0.378436435720245,1.36609165380237
